datetime,signal,forecast_price,current_price,predicted_return,actual_price_2h,result,pnl_bps,confidence,ai_sentiment,ai_magnitude
2026-03-10 20:53:10.961958+00:00,HOLD,1411.32,1409.48,0.001303,1415.49,--,0.0,,0.0,0.0
2026-03-10 20:56:00.954190+00:00,HOLD,1411.4,1409.56,0.001303,1415.49,--,0.0,,0.0,0.0
2026-03-10 21:12:49.428717+00:00,HOLD,1413.56,1411.72,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 21:29:22.637200+00:00,HOLD,1417.65,1415.81,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 21:44:56.072971+00:00,HOLD,1414.53,1412.69,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 21:57:46.223476+00:00,HOLD,1412.21,1410.37,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 22:01:14.523574+00:00,HOLD,1418.29,1416.44,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 22:04:24.171720+00:00,HOLD,1412.41,1410.57,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 22:28:37.688660+00:00,HOLD,1419.27,1417.42,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 22:45:08.725922+00:00,HOLD,1416.3,1414.46,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 22:47:17.681273+00:00,HOLD,1416.3,1414.46,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 22:49:22.367803+00:00,HOLD,1422.67,1420.82,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 22:49:27.999897+00:00,HOLD,1422.67,1420.82,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 22:57:41.458579+00:00,HOLD,1417.33,1415.49,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-10 22:58:45.607510+00:00,HOLD,1419.26,1417.41,0.001303,1409.6,--,0.0,,0.0,0.0
2026-03-11 09:14:06.874157+00:00,HOLD,1415.54,1413.45,0.001477,1409.6,--,0.0,,0.0,0.0
2026-03-11 09:15:42.748120+00:00,HOLD,1423.03,1420.93,0.001477,1409.6,--,0.0,,0.0,0.0
2026-03-11 09:16:41.012795+00:00,HOLD,1420.39,1418.3,0.001477,1409.6,--,0.0,,0.0,0.0
2026-03-11 11:12:57.215980+00:00,HOLD,1422.34,1420.24,0.001477,1409.6,--,0.0,,0.0,0.0
2026-03-11 11:13:50.681102+00:00,HOLD,1422.34,1420.24,0.001477,1409.6,--,0.0,,0.0,0.0
2026-03-11 11:19:37.375585+00:00,HOLD,1417.12,1414.39,0.001927,1409.6,--,0.0,,0.45,0.35
2026-03-11 11:43:52.142822+00:00,HOLD,1420.39,1418.93,0.001027,1409.6,--,0.0,,-0.45,0.35
2026-03-11 12:15:30.401530+00:00,HOLD,1413.07,1411.62,0.001027,1409.6,--,0.0,,-0.45,0.35
2026-03-11 12:16:36.342769+00:00,HOLD,1420.9,1419.44,0.001027,1409.6,--,0.0,,-0.45,0.35
2026-03-11 12:22:22.873095+00:00,HOLD,1412.49,1411.04,0.001027,1409.6,--,0.0,,-0.45,0.35
2026-03-11 12:24:04.395140+00:00,HOLD,1410.83,1409.38,0.001027,1409.6,--,0.0,,-0.45,0.35
2026-03-11 12:32:23.463624+00:00,HOLD,1412.75,1411.3,0.001027,1409.6,--,0.0,,-0.45,0.35
2026-03-11 14:15:27.853183+00:00,UP,1414.32,1412.87,0.001027,1406.81,wrong,-42.9,MEDIUM,-0.45,0.35
2026-03-11 14:16:23.771354+00:00,HOLD,1414.32,1412.87,0.001027,1406.81,--,0.0,,-0.45,0.35
2026-03-11 14:16:38.757775+00:00,HOLD,1414.32,1412.87,0.001027,1406.81,--,0.0,,-0.45,0.35
2026-03-11 15:19:36.323809+00:00,HOLD,1413.15,1411.7,0.001027,1402.97,--,0.0,,-0.45,0.35
2026-03-11 15:20:12.106500+00:00,UP,1410.9,1409.45,0.001027,1402.97,wrong,-46.0,MEDIUM,-0.45,0.35
2026-03-11 15:33:52.507437+00:00,UP,1418.62,1417.16,0.001027,1413.74,wrong,-24.1,LOW,-0.45,0.35
2026-03-11 15:34:18.554410+00:00,UP,1418.62,1417.16,0.001027,1412.01,wrong,-36.3,LOW,-0.45,0.35
2026-03-11 15:34:33.186870+00:00,HOLD,1418.62,1417.16,0.001027,1412.01,--,0.0,,-0.45,0.35
2026-03-11 15:46:00.991385+00:00,HOLD,1411.05,1409.6,0.001027,1403.69,--,0.0,,-0.45,0.35
2026-03-11T21:24:23.935784+00:00,UP,1414.14,1412.69,0.001027,,,,LOW,-0.45,0.35
2026-03-11T21:47:41.057417+00:00,HOLD,1410.56,1408.83,0.001227,,,,,-0.25,0.55
2026-03-11T21:59:06.885833+00:00,HOLD,1408.8,1407.07,0.001227,,,,,-0.25,0.45
2026-03-11T22:01:12.350564+00:00,HOLD,1413.53,1411.8,0.001227,,,,,-0.25,0.45
2026-03-11T22:01:40.372624+00:00,HOLD,1407.04,1405.32,0.001227,,,,,-0.25,0.45
